frame,class_id,class_name,confidence,x1,y1,x2,y2
6,5,speedboat,0.8599,502.3,322.2,644.8,386.5
7,5,speedboat,0.8593,502.3,322.2,644.9,386.5
8,5,speedboat,0.8723,506.2,320.6,651.0,386.4
9,5,speedboat,0.8654,510.8,324.7,652.4,388.4
10,5,speedboat,0.8747,519.2,322.3,659.1,388.0
11,5,speedboat,0.835,523.8,326.7,664.8,390.5
12,5,speedboat,0.8349,523.8,326.6,664.8,390.5
13,5,speedboat,0.857,529.5,326.3,671.0,392.8
14,5,speedboat,0.8689,533.0,324.7,676.2,393.8
15,5,speedboat,0.8686,539.0,328.7,680.6,394.9
16,5,speedboat,0.8508,543.6,327.7,686.8,394.5
17,5,speedboat,0.8508,543.6,327.7,686.7,394.5
18,5,speedboat,0.8426,549.9,330.0,690.6,394.5
19,5,speedboat,0.8459,556.0,330.7,697.0,396.2
20,5,speedboat,0.8495,557.5,331.2,701.9,396.5
21,5,speedboat,0.7947,563.8,332.0,706.4,398.5
22,5,speedboat,0.7955,563.8,332.0,706.4,398.5
23,5,speedboat,0.8912,567.5,333.8,714.6,399.7
24,5,speedboat,0.8949,571.8,334.6,717.2,402.6
25,5,speedboat,0.864,573.8,335.8,725.8,406.1
26,5,speedboat,0.8901,580.2,336.8,724.8,405.1
27,5,speedboat,0.89,580.2,336.8,724.8,405.1
28,5,speedboat,0.8861,583.4,337.2,731.5,406.7
29,5,speedboat,0.8722,586.4,339.4,740.7,408.9
30,5,speedboat,0.8794,592.8,339.8,741.5,407.1
31,5,speedboat,0.8829,595.3,340.7,745.3,408.5
32,5,speedboat,0.8829,595.3,340.7,745.1,408.5
33,5,speedboat,0.872,598.7,343.3,744.7,409.9
34,5,speedboat,0.8707,603.0,341.3,746.3,411.4
35,5,speedboat,0.8789,603.8,342.6,745.9,411.5
36,5,speedboat,0.8759,606.6,345.0,748.2,412.6
37,5,speedboat,0.8762,606.6,345.0,748.1,412.6
38,5,speedboat,0.8804,611.4,345.2,752.8,413.7
